Date,Product,Region,Store Location,Initial Inventory,Restocks,Sales Impact,Current Inventory
1/1/2024,Mocha,West,Store B,375,63,81,161
1/1/2024,Latte,North,Store C,488,79,94,165
1/1/2024,Cappuccino,South,Store B,503,47,68,152
1/1/2024,Cappuccino,West,Store D,579,28,211,151
1/1/2024,Mocha,East,Store A,387,37,210,307
1/1/2024,Mocha,South,Store A,431,128,172,338
1/1/2024,Latte,West,Store A,449,162,124,338
1/1/2024,Mocha,North,Store B,542,35,132,221
1/1/2024,Mocha,North,Store A,400,30,216,234
1/1/2024,Cappuccino,East,Store B,379,198,183,277
1/1/2024,Cappuccino,East,Store D,513,87,136,163
1/1/2024,Latte,West,Store C,569,115,167,391
1/1/2024,Mocha,West,Store B,548,89,51,305
1/1/2024,Mocha,East,Store C,406,103,221,242
1/1/2024,Cappuccino,North,Store D,590,43,74,116
1/1/2024,Cappuccino,West,Store D,518,146,147,223
1/1/2024,Espresso,West,Store C,547,97,215,192
1/1/2024,Mocha,East,Store D,406,72,234,311
1/1/2024,Mocha,South,Store A,386,199,120,368
1/1/2024,Latte,West,Store D,421,175,149,137
1/1/2024,Cappuccino,East,Store D,422,187,174,207
1/1/2024,Espresso,East,Store A,507,167,86,120
1/1/2024,Espresso,North,Store B,378,27,57,398
1/1/2024,Cappuccino,West,Store C,525,173,72,299
1/2/2024,Cappuccino,West,Store B,428,99,76,276
1/2/2024,Mocha,North,Store C,557,138,146,272
1/2/2024,Mocha,North,Store D,322,88,166,132
1/2/2024,Cappuccino,South,Store C,348,131,78,128
1/2/2024,Cappuccino,West,Store A,491,71,195,188
1/2/2024,Latte,North,Store D,475,152,158,172
1/2/2024,Espresso,West,Store D,513,43,208,266
1/2/2024,Espresso,North,Store B,301,77,62,126
1/2/2024,Cappuccino,South,Store B,406,59,152,236
1/2/2024,Espresso,West,Store B,448,167,189,271
1/2/2024,Cappuccino,South,Store D,574,15,99,149
1/2/2024,Mocha,South,Store A,513,108,208,121
1/2/2024,Cappuccino,North,Store D,481,5,244,304
1/2/2024,Latte,South,Store B,408,48,148,324
1/2/2024,Latte,North,Store A,455,198,96,212
1/2/2024,Espresso,North,Store B,520,112,90,395
1/2/2024,Mocha,North,Store B,390,157,108,210
1/2/2024,Mocha,West,Store B,578,146,179,241
1/2/2024,Mocha,West,Store D,491,73,69,120
1/2/2024,Mocha,East,Store D,460,80,203,244
1/2/2024,Latte,East,Store C,549,160,132,315
1/2/2024,Espresso,East,Store C,495,187,60,248
1/2/2024,Cappuccino,East,Store A,331,175,80,253
1/2/2024,Cappuccino,South,Store C,502,128,60,228
1/3/2024,Latte,East,Store C,565,58,138,170
1/3/2024,Cappuccino,South,Store A,466,61,191,310
1/3/2024,Latte,West,Store C,331,157,118,245
1/3/2024,Cappuccino,West,Store C,567,70,159,188
1/3/2024,Cappuccino,South,Store D,426,26,196,152
1/3/2024,Cappuccino,South,Store C,581,78,121,119
1/3/2024,Espresso,North,Store C,539,165,170,331
1/3/2024,Cappuccino,North,Store A,501,53,76,144
1/3/2024,Espresso,South,Store D,408,169,205,159
1/3/2024,Mocha,North,Store C,359,5,213,278
1/3/2024,Latte,North,Store B,591,34,117,384
1/3/2024,Mocha,East,Store D,389,43,226,181
1/3/2024,Cappuccino,East,Store D,481,133,171,243
1/3/2024,Espresso,North,Store C,468,160,94,393
1/3/2024,Mocha,West,Store A,323,42,165,233
1/3/2024,Espresso,West,Store D,363,53,126,311
1/3/2024,Cappuccino,West,Store A,389,194,65,200
1/3/2024,Espresso,South,Store B,555,93,183,126
1/3/2024,Latte,West,Store B,575,58,203,365
1/3/2024,Espresso,East,Store A,333,14,212,144
1/3/2024,Mocha,West,Store C,443,51,229,226
1/3/2024,Mocha,South,Store A,538,66,55,159
1/3/2024,Cappuccino,North,Store B,463,145,139,295
1/3/2024,Cappuccino,East,Store D,596,117,58,247
1/4/2024,Mocha,West,Store A,472,123,221,233
1/4/2024,Cappuccino,West,Store B,512,163,162,360
1/4/2024,Latte,West,Store C,551,43,189,134
1/4/2024,Mocha,South,Store D,526,112,89,134
1/4/2024,Espresso,North,Store B,452,8,54,172
1/4/2024,Espresso,West,Store A,399,136,180,147
1/4/2024,Espresso,South,Store A,453,88,218,368
1/4/2024,Cappuccino,South,Store D,373,100,91,355
1/4/2024,Mocha,West,Store C,364,173,92,171
1/4/2024,Mocha,South,Store C,536,150,89,335
1/4/2024,Mocha,North,Store B,533,188,214,108
1/4/2024,Latte,North,Store A,437,145,159,334
1/4/2024,Mocha,North,Store D,325,155,235,337
1/4/2024,Mocha,South,Store D,559,26,174,233
1/4/2024,Cappuccino,West,Store A,317,17,111,204
1/4/2024,Cappuccino,West,Store B,405,67,210,145
1/4/2024,Cappuccino,East,Store D,407,94,144,363
1/4/2024,Latte,East,Store D,401,195,196,311
1/4/2024,Cappuccino,West,Store B,388,182,223,398
1/4/2024,Latte,West,Store D,308,93,74,130
1/4/2024,Latte,South,Store D,599,160,62,260
1/4/2024,Espresso,West,Store C,401,88,246,388
1/4/2024,Cappuccino,East,Store D,331,53,73,197
1/4/2024,Mocha,South,Store B,486,165,212,307
1/5/2024,Cappuccino,North,Store B,545,7,143,218
1/5/2024,Mocha,South,Store D,359,160,122,122
1/5/2024,Latte,West,Store D,410,32,214,239
1/5/2024,Cappuccino,South,Store A,305,21,242,328
1/5/2024,Espresso,South,Store A,353,74,117,255
1/5/2024,Cappuccino,West,Store B,490,28,139,382
1/5/2024,Cappuccino,North,Store C,413,112,223,112
1/5/2024,Cappuccino,North,Store A,514,49,232,360
1/5/2024,Latte,North,Store A,578,90,84,238
1/5/2024,Espresso,East,Store C,373,62,225,146
