Promotion ID,Product,Promotion Type,Start Date,End Date,Regions Targeted,Success Rate (%)
P0001,Espresso,Free Sample,1/1/2024,1/2/2024,North,71.55
P0002,Mocha,Bundle,1/1/2024,1/2/2024,South,88.43
P0003,Latte,Discount,1/1/2024,1/2/2024,North,57.16
P0004,Espresso,Discount,1/1/2024,1/2/2024,North,45.64
P0005,Espresso,Bundle,1/1/2024,1/2/2024,West,64.42
P0006,Latte,Bundle,1/1/2024,1/2/2024,West,61.52
P0007,Cappuccino,Free Sample,1/1/2024,1/2/2024,West,39.35
P0008,Mocha,Bundle,1/1/2024,1/2/2024,North,86.99
P0009,Mocha,BOGO,1/1/2024,1/2/2024,West,29.99
P0010,Mocha,Bundle,1/1/2024,1/2/2024,North,82.11
P0011,Latte,Bundle,1/1/2024,1/2/2024,South,42.36
P0012,Cappuccino,Bundle,1/1/2024,1/2/2024,North,77.2
P0013,Mocha,Free Sample,1/1/2024,1/2/2024,West,21.74
P0014,Latte,Discount,1/1/2024,1/2/2024,East,45.61
P0015,Latte,Discount,1/1/2024,1/2/2024,East,47.37
P0016,Latte,Bundle,1/1/2024,1/2/2024,South,63.44
P0017,Mocha,Bundle,1/1/2024,1/2/2024,East,84.44
P0018,Latte,Free Sample,1/1/2024,1/2/2024,East,60.31
P0019,Espresso,Bundle,1/1/2024,1/2/2024,West,56.43
P0020,Cappuccino,BOGO,1/1/2024,1/2/2024,North,69.8
P0021,Espresso,Bundle,1/1/2024,1/2/2024,South,35.75
P0022,Latte,Discount,1/1/2024,1/2/2024,North,46.16
P0023,Mocha,BOGO,1/1/2024,1/2/2024,East,84.94
P0024,Cappuccino,Bundle,1/1/2024,1/2/2024,East,28.95
P0025,Latte,Bundle,1/2/2024,1/3/2024,East,79.57
P0026,Latte,Free Sample,1/2/2024,1/3/2024,West,71.95
P0027,Mocha,Bundle,1/2/2024,1/3/2024,West,88.42
P0028,Cappuccino,Bundle,1/2/2024,1/3/2024,North,10.74
P0029,Latte,BOGO,1/2/2024,1/3/2024,South,53.78
P0030,Latte,BOGO,1/2/2024,1/3/2024,West,69.65
P0031,Mocha,Bundle,1/2/2024,1/3/2024,South,26.46
P0032,Latte,BOGO,1/2/2024,1/3/2024,North,42.01
P0033,Cappuccino,Discount,1/2/2024,1/3/2024,East,40.4
P0034,Latte,Bundle,1/2/2024,1/3/2024,South,16.18
P0035,Latte,Discount,1/2/2024,1/3/2024,West,52.73
P0036,Espresso,Free Sample,1/2/2024,1/3/2024,North,35.97
P0037,Mocha,Free Sample,1/2/2024,1/3/2024,East,83.92
P0038,Mocha,Bundle,1/2/2024,1/3/2024,South,13.69
P0039,Cappuccino,BOGO,1/2/2024,1/3/2024,West,33.26
P0040,Mocha,Free Sample,1/2/2024,1/3/2024,South,27.24
P0041,Cappuccino,Free Sample,1/2/2024,1/3/2024,East,15.06
P0042,Latte,BOGO,1/2/2024,1/3/2024,West,16.95
P0043,Espresso,BOGO,1/2/2024,1/3/2024,East,54.5
P0044,Latte,Discount,1/2/2024,1/3/2024,North,37.89
P0045,Cappuccino,Discount,1/2/2024,1/3/2024,North,23.01
P0046,Espresso,Bundle,1/2/2024,1/3/2024,West,36.6
P0047,Espresso,Free Sample,1/2/2024,1/3/2024,North,65.9
P0048,Cappuccino,Bundle,1/2/2024,1/3/2024,North,33.23
P0049,Espresso,Bundle,1/3/2024,1/4/2024,West,35.95
P0050,Latte,Bundle,1/3/2024,1/4/2024,South,80.53
P0051,Mocha,Bundle,1/3/2024,1/4/2024,North,29.75
P0052,Espresso,Bundle,1/3/2024,1/4/2024,North,81.96
P0053,Latte,Discount,1/3/2024,1/4/2024,West,76.71
P0054,Mocha,Bundle,1/3/2024,1/4/2024,North,44.97
P0055,Latte,BOGO,1/3/2024,1/4/2024,West,44.28
P0056,Espresso,Discount,1/3/2024,1/4/2024,East,59.69
P0057,Latte,Discount,1/3/2024,1/4/2024,East,19.0
P0058,Mocha,BOGO,1/3/2024,1/4/2024,West,26.75
P0059,Mocha,Free Sample,1/3/2024,1/4/2024,South,22.39
P0060,Mocha,BOGO,1/3/2024,1/4/2024,South,33.85
P0061,Cappuccino,BOGO,1/3/2024,1/4/2024,West,53.58
P0062,Latte,BOGO,1/3/2024,1/4/2024,North,68.32
P0063,Espresso,Discount,1/3/2024,1/4/2024,North,43.42
P0064,Espresso,Bundle,1/3/2024,1/4/2024,West,23.39
P0065,Mocha,BOGO,1/3/2024,1/4/2024,West,28.76
P0066,Latte,BOGO,1/3/2024,1/4/2024,South,15.82
P0067,Cappuccino,Free Sample,1/3/2024,1/4/2024,South,82.87
P0068,Cappuccino,Bundle,1/3/2024,1/4/2024,South,19.31
P0069,Espresso,Discount,1/3/2024,1/4/2024,East,81.89
P0070,Latte,Discount,1/3/2024,1/4/2024,North,29.71
P0071,Cappuccino,BOGO,1/3/2024,1/4/2024,North,58.2
P0072,Latte,Bundle,1/3/2024,1/4/2024,West,37.33
P0073,Cappuccino,BOGO,1/4/2024,1/5/2024,East,45.28
P0074,Cappuccino,Free Sample,1/4/2024,1/5/2024,South,21.73
P0075,Mocha,Discount,1/4/2024,1/5/2024,North,28.6
P0076,Mocha,BOGO,1/4/2024,1/5/2024,West,70.58
P0077,Cappuccino,BOGO,1/4/2024,1/5/2024,South,76.42
P0078,Latte,Free Sample,1/4/2024,1/5/2024,South,40.36
P0079,Mocha,Free Sample,1/4/2024,1/5/2024,South,30.78
P0080,Cappuccino,BOGO,1/4/2024,1/5/2024,East,85.9
P0081,Espresso,Discount,1/4/2024,1/5/2024,East,40.62
P0082,Espresso,BOGO,1/4/2024,1/5/2024,East,70.41
P0083,Espresso,Bundle,1/4/2024,1/5/2024,North,74.81
P0084,Cappuccino,Discount,1/4/2024,1/5/2024,East,23.53
P0085,Cappuccino,BOGO,1/4/2024,1/5/2024,West,76.0
P0086,Latte,Discount,1/4/2024,1/5/2024,East,56.02
P0087,Espresso,Bundle,1/4/2024,1/5/2024,East,13.8
P0088,Cappuccino,Bundle,1/4/2024,1/5/2024,East,28.83
P0089,Espresso,Discount,1/4/2024,1/5/2024,South,37.7
P0090,Espresso,BOGO,1/4/2024,1/5/2024,West,43.31
P0091,Cappuccino,Discount,1/4/2024,1/5/2024,West,55.55
P0092,Mocha,Free Sample,1/4/2024,1/5/2024,East,54.6
P0093,Espresso,BOGO,1/4/2024,1/5/2024,North,19.26
P0094,Espresso,Discount,1/4/2024,1/5/2024,West,28.62
P0095,Latte,Bundle,1/4/2024,1/5/2024,South,43.59
P0096,Cappuccino,Bundle,1/4/2024,1/5/2024,West,29.73
P0097,Mocha,BOGO,1/5/2024,1/6/2024,East,27.52
P0098,Cappuccino,Discount,1/5/2024,1/6/2024,East,76.34
P0099,Latte,Free Sample,1/5/2024,1/6/2024,South,27.22
P0100,Mocha,Free Sample,1/5/2024,1/6/2024,West,19.45
P0101,Latte,Discount,1/5/2024,1/6/2024,West,22.59
P0102,Latte,BOGO,1/5/2024,1/6/2024,West,73.55
