Date,Product,Quantity Sold,Sale Price,Region,Store Location,Promotions Applied,Sales Channel,Customer Count,Time of Day
1/1/2024,Espresso,22,5.24,East,Store A,Yes,In-store,2,Afternoon
1/1/2024,Mocha,67,4.2,South,Store D,Yes,Delivery,2,Evening
1/1/2024,Cappuccino,94,3.6,North,Store B,Yes,In-store,3,Night
1/1/2024,Mocha,13,4.0,West,Store A,Yes,Delivery,4,Morning
1/1/2024,Latte,100,4.8,West,Store A,No,In-store,1,Afternoon
1/1/2024,Cappuccino,20,4.49,West,Store D,Yes,Online,1,Night
1/1/2024,Latte,73,4.54,West,Store B,Yes,In-store,2,Night
1/1/2024,Latte,85,5.07,North,Store C,No,In-store,4,Evening
1/1/2024,Mocha,23,3.43,West,Store D,No,Delivery,4,Morning
1/1/2024,Cappuccino,86,3.44,South,Store C,Yes,In-store,1,Afternoon
1/1/2024,Cappuccino,78,3.8,West,Store C,Yes,Online,4,Night
1/1/2024,Mocha,11,3.53,South,Store B,Yes,Delivery,3,Evening
1/1/2024,Mocha,20,5.34,East,Store A,Yes,Online,3,Afternoon
1/1/2024,Mocha,61,4.22,North,Store B,Yes,Online,3,Morning
1/1/2024,Cappuccino,29,3.85,South,Store D,Yes,In-store,4,Morning
1/1/2024,Latte,46,4.25,South,Store C,No,Online,4,Morning
1/1/2024,Latte,100,4.17,West,Store A,Yes,Delivery,2,Morning
1/1/2024,Cappuccino,59,4.48,East,Store B,Yes,In-store,1,Evening
1/1/2024,Cappuccino,53,5.18,South,Store B,No,In-store,1,Night
1/1/2024,Espresso,66,4.34,South,Store B,No,Delivery,1,Night
1/1/2024,Cappuccino,60,4.95,West,Store D,No,Delivery,3,Afternoon
1/1/2024,Mocha,14,4.86,West,Store B,No,Delivery,2,Morning
1/1/2024,Cappuccino,96,3.06,West,Store C,No,Delivery,1,Morning
1/1/2024,Latte,71,4.19,North,Store D,Yes,Delivery,2,Evening
1/2/2024,Cappuccino,9,5.27,North,Store D,Yes,Delivery,2,Morning
1/2/2024,Cappuccino,32,4.04,West,Store B,No,Delivery,3,Afternoon
1/2/2024,Cappuccino,57,3.8,West,Store B,Yes,Online,4,Evening
1/2/2024,Latte,94,5.26,West,Store C,No,Online,1,Afternoon
1/2/2024,Espresso,94,5.41,West,Store B,Yes,In-store,4,Afternoon
1/2/2024,Latte,89,3.62,North,Store B,Yes,Delivery,2,Night
1/2/2024,Cappuccino,47,4.91,West,Store B,Yes,Delivery,2,Night
1/2/2024,Mocha,52,4.02,West,Store C,No,Delivery,2,Evening
1/2/2024,Mocha,62,4.35,West,Store C,Yes,Delivery,2,Morning
